ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,video_url
112,3/4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,https://gymvisual.com/modules/productmedia/uploads/5660a5320f469c5764c6e5ffc56d72d4.mp4
212,45 Degree Side Bend,Strength,Waist,Body weight,Male,Obliques,Iliopsoas,https://gymvisual.com/modules/productmedia/uploads/9ac767916211907d3b33ed1cea86a996.mp4
312,Air Bike (male),Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://gymvisual.com/modules/productmedia/uploads/85b09815557e1d93d245176dd0eae66a.mp4
412,Air Twisting Crunch (female),Strength,Waist,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/00041201preview.mp4
612,Alternate Heel Touchers,Strength,Waist,Body weight,Male,Obliques,,https://gymvisual.com/modules/productmedia/uploads/15e2db6ae38d1cd18a2486e7de7f2293.mp4
812,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",
912,Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00091205preview.mp4
1512,Assisted Parallel Close-Grip Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://gymvisual.com/modules/productmedia/uploads/cb55c5779aba20c25b33342f0a076e10.mp4
1712,Assisted Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://gymvisual.com/modules/productmedia/uploads/cc56de37fa91cdfba2e0a4ae7d7e0bbc.mp4
1912,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major",https://gymvisual.com/modules/productmedia/uploads/a443214236f545e5edfb9e6fbbe406af.mp4
2112,Ball Sit-up (on stability ball),Strength,Waist,Stability ball,Female,Rectus Abdominis,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/03ff9fb7040e0b5cfdf1edbcbe0a90cb.mp4
2212,Barbell Pullover-To-Press,Strength,Back,Barbell,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers",
2312,Barbell Alternate Biceps Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/c8c2286c5671d3f4cad8535b748192d7.mp4
2512,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00251201barbellbenchpresschestfix2view.mp4
2612,Barbell Bench Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/13901b5d9b43a58c233f636d848edb9c.mp4
2712,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/fa1e8792a9a7fe77e989556f63d0aeae.mp4
2812,Barbell Clean and Press,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps",,https://gymvisual.com/modules/productmedia/uploads/4c27006752e2fb638f3e3293047dd7a2.mp4
2912,Barbell Clean-grip Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/00291201barbellcleangripfrontsquatthighsfixview.mp4
3012,Barbell Close Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/905ff2a13ead42d640141519c2d7a95c.mp4
3112,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/df17c37323179bf62ee92bbdaf3dc7c1.mp4
3212,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/2582d8ce80513e0ad9899f59e6b77afa.mp4
3212,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",https://gymvisual.com/modules/productmedia/uploads/a15e63c7a96a3fcce3c6e2f72da0a065.mp4
3312,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/4c4ec79d951944904680aad3bed01f33.mp4
3812,Barbell Drag Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/dd414c18c0a0654a03410656795250ff.mp4
3912,Barbell Front Chest Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/8c62f0f657c8cbff8839b43114a71bfa.mp4
4112,Barbell Front Raise,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://gymvisual.com/modules/productmedia/uploads/7b7b386a0a1690af699a567c27a92fa0.mp4
4212,Barbell Front Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/cf5a5e0a49cdf34bcda45452ce4c6a81.mp4
4312,Barbell Full Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/dea0fd8f14ecdd17fcd1efc45613235b.mp4
4412,Barbell Good Morning,Strength,Hips,Barbell,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus",https://gymvisual.com/modules/productmedia/uploads/00441201barbellgoodmorningthighsfixview.mp4
4512,Barbell Guillotine Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00451205preview.mp4
4612,Barbell Hack Squat,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/2ece99937bff1c84a68a381a2c3725bf.mp4
4712,Barbell Incline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/00471205barbellinclinebenchpresschestfix2view.mp4
4912,Barbell Incline Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/844a5e9404d64e06fdd68a41c4133b1e.mp4
5112,Barbell Jefferson Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://gymvisual.com/modules/productmedia/uploads/1a67932caad1740d320d1deab6c1c0c9.mp4
5212,Barbell JM-Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head",https://gymvisual.com/modules/productmedia/uploads/fe6e09a13d11639e9f0f937be5d9f588.mp4
