ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
112,3/4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,0001,Obliques
212,45 Degree Side Bend,Strength,Waist,Body weight,Male,Obliques,0002,Iliopsoas
312,Air Bike (male),Strength,Waist,Body weight,Male,Obliques,0003,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
412,Air Twisting Crunch (female),Strength,Waist,Body weight,Female,,0004,
612,Alternate Heel Touchers,Strength,Waist,Body weight,Male,Obliques,0005,
812,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,Rectus Abdominis,0006,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
912,Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,0007,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii"
1512,Assisted Parallel Close-Grip Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,0008,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
1712,Assisted Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,0009,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
1912,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,0010,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
2112,Ball Sit-up (on stability ball),Strength,Waist,Stability ball,Female,Rectus Abdominis,0011,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae"
2212,Barbell Pullover-To-Press,Strength,Back,Barbell,Male,Latissimus Dorsi,0012,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers"
